"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept"
1615,"[seol] Antibiotics drug",42731624,"OMOP2740055","{1 (1000 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment) / 1 (1000 MG Kanamycin 0.0062 MG/MG Prefilled Applicator) } Pack","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43869324,"OMOP902052","{1 (1000 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment) / 1 (1000 MG Kanamycin 0.0062 MG/MG Prefilled Applicator) } Pack [Kanamytrex] by Alcon","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42923220,"OMOP4650013","0.3 ML Tobramycin 3 MG/ML Ophthalmic Solution","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42923221,"OMOP4650014","0.3 ML Tobramycin 3 MG/ML Ophthalmic Solution [TOBACIN]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42923135,"OMOP4649930","0.35 ML Tobramycin 3 MG/ML Ophthalmic Solution","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42923136,"OMOP4649931","0.35 ML Tobramycin 3 MG/ML Ophthalmic Solution [TOBACIN]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42923027,"OMOP4649825","0.4 ML Tobramycin 3 MG/ML Ophthalmic Solution","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42923028,"OMOP4649826","0.4 ML Tobramycin 3 MG/ML Ophthalmic Solution [TOBACIN]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43297395,"OMOP559366","0.5 ML Chloramphenicol 5 MG/ML Ophthalmic Solution [Chloramphenicol Minims]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43264793,"OMOP559368","0.5 ML Chloramphenicol 5 MG/ML Ophthalmic Solution [Chloramphenicol Minims] Box of 20","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43259365,"OMOP559369","0.5 ML Chloramphenicol 5 MG/ML Ophthalmic Solution [Chloramphenicol Minims] Box of 20 by Bausch & Lomb","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43286631,"OMOP559367","0.5 ML Chloramphenicol 5 MG/ML Ophthalmic Solution [Chloramphenicol Minims] by Bausch & Lomb","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42922839,"OMOP4649639","0.5 ML Tobramycin 3 MG/ML Ophthalmic Solution","Drug","RxNorm Extension","S"
